Length	GC
2250427	35.8788798748
1659060	38.8762311188
1709911	39.1263638868
1664565	30.5924370631
3926520	46.5006927254
4519823	51.2128019172
5513531	50.4998702284
4545906	45.1491737841
6683584	67.5320157568
2173191	51.7226051461
930981	27.5181770627
4109556	67.7036156704
4519828	47.6425430348
1568826	38.9409023053
4107280	67.706170507
3509795	41.4308243074
4376040	67.9164495754
4681672	36.5219519864
3366995	46.8972481397
5636000	63.5537437899
5227170	35.3706881544
4961996	63.6888058757
3437918	47.1787285212
4109988	67.7002463268
4513324	61.6651939901
4757486	58.5292316152
4209935	62.63277224
705138	44.4532843217
4751449	52.1918471607
925938	46.3140080653
4374522	65.6360397776
1616648	30.6010337439
2771849	32.8999523423
4857439	54.5959712515
4765486	64.7218143123
4876443	55.1027459974
4419977	65.6125133683
777079	24.9512597818
3629109	62.5619676896
2932501	38.0430901814
1694324	30.5807507891
4599702	50.7752893557
5270991	35.4481728388
2896143	32.8625347574
2295822	59.6693471881
4109554	67.7035756192
5513008	50.5473962672
3175729	40.8982630445
1296670	32.2546214534
5030940	60.284320624
2807246	57.5182224857
822140	32.3586007249
1111445	29.0002654202
6397126	58.3988809975
4108471	67.7046034887
3434224	38.3333178034
4940474	35.6033449422
2256640	60.1198241634
2605518	38.1288480832
3868304	36.9774454128
3873105	43.8913997942
4106386	67.7067133971
2096882	35.6667184896
2832478	32.9162662517
1658047	38.616637526
3821074	37.6303363923
4759716	50.6449544469
4709075	52.1741318624
3389993	37.2891330454
1978958	32.3639005982
686194	33.2349160733
1859582	46.2720116671
3039887	38.0789154334
3596761	70.2199562328
4316707	47.4975021469
2885033	64.6540611494
5249768	56.0108751472
2540008	60.1189445073
1829936	39.8863676107
2185698	51.6197114148
1563032	29.844046699
4378588	65.613115461
3966922	46.5336601022
1042520	41.307504892
4300706	45.9343419429
4293006	42.9110744313
1616617	38.7300764498
4134229	42.2986244835
4043846	67.6861829061
4103209	67.7095414833
1248026	58.4785092618
5369929	54.3801230892
1942198	60.481320648
3389227	67.9927310859
4103225	67.7094967983
2842022	32.8030887868
4430829	64.0530474094
3899940	44.2851428484
1837281	38.53558601
4106500	67.705442591
1682965	52.114868699
4842322	58.9488679192
2337866	52.1825031888
5386705	57.4139478587
3980199	46.082344124
5945120	62.4933054337
3424893	40.0511198452
4120406	43.9267635277
1578097	42.4653237412
3905973	46.6586942613
2597759	65.0571126883
4651400	52.2857419272
2259227	40.1359845646
5191608	58.7915728614
6618768	66.2508188835
5308934	67.4646925353
3665893	55.1137471825
5200082	35.3953841497
2903106	38.0319561187
6639108	66.2141661199
2677607	63.1771951597
3749411	67.5791744357
4843645	34.0445470302
820453	30.7094982894
3704641	41.2876173427
1848520	39.0570294073
2309262	30.2936176146
5355490	35.5394744458
1895017	38.5466198984
3799539	51.1394408637
1109375	23.9583549296
3138120	43.8976839636
3059871	42.6351306967
2269167	68.0758181306
4107604	67.7056989914
4922834	59.2026259671
8304518	68.0802787109
2606868	66.0905730555
2846746	41.7767514207
3868357	47.0421680315
6685842	66.7179541485
2199877	39.3756560026
1522743	35.7269742826
5383018	57.4782399019
1809823	46.1407552009
3260398	68.1390124764
2904662	38.0376098837
4986817	45.1933367517
4059653	40.4136264848
5575484	50.995734182
6823539	59.5824835177
3207520	72.9586721205
6606606	60.7757901712
4745806	60.4699602133
5445834	50.5076173824
4063606	38.899686633
6694199	59.4282004464
2952218	44.9337413429
3149227	44.8991768456
1954607	41.6028899927
4444448	64.0752687398
4847468	52.2070078647
2848095	32.8434971446
4806946	50.769261814
5373180	38.0054269539
4879702	55.3664137687
1924513	38.989811968
2041142	41.0960628903
2987966	32.835882336
6928736	66.0091248967
4124384	28.7077536912
2606374	53.3996655891
5227092	35.3784666503
3005051	46.6919197045
4567242	50.7862075187
5489680	59.1055762813
1635130	30.3712854635
2012455	46.235269857
6343337	66.5121528306
5228295	57.5106416145
4106366	67.7065804656
816430	40.0102886959
5327397	35.4022987211
4793553	52.0318436033
2861969	46.5108811451
2232393	52.3735740078
4523206	47.6364109881
4064534	33.845798805
3889532	46.7091670669
2668255	37.7974743793
2159491	39.4978261081
3551823	66.2167287052
3197722	44.5917124753
5330835	57.3433430222
2806148	53.2811526691
4953610	69.2942318834
1859595	32.3063892944
2572079	44.278188967
6641144	60.7657054267
4103217	67.7094094707
4865574	36.6443506974
2253233	27.0598291433
1640877	32.7529120099
3939203	45.8209947545
1686510	55.0443815928
3937190	65.0220080819
2315904	58.7122350495
2572413	54.4000904987
1892681	32.2600057802
2349518	40.4372726661
5099988	50.7351782004
4546849	50.7454942973
5233459	50.7539468638
2736403	48.9270768962
4858944	50.7186129332
1782665	30.4177733898
816491	40.0048500228
2173720	59.2931012274
4586378	53.6565237318
2590556	36.7071007151
3608104	42.2752503808
1604233	38.9639784246
5875750	62.5983576565
3547915	59.6315582532
4685847	52.1670681949
5029817	63.9201784081
4551783	58.7190338379
2176073	41.1648873912
1558103	35.3748757303
1796152	38.4842151444
9106064	64.0593894354
2146151	41.0872301157
5409696	68.0964327755
1996151	35.4872952998
3596620	52.2752195117
4002350	66.4973827876
641716	26.2863946045
5124790	64.8390470634
4103204	67.7093559082
2484332	53.4535239251
3397754	38.269515686
3046682	58.4503404031
4809574	52.1551596877
5423075	53.6616218658
