Length	GC
159631	51.9573265844
188047	49.0265731439
52474	62.4061439951
39434	50.9534919105
87712	38.8156694637
53359	61.0093892314
46723	45.8960255121
39042	42.7667639977
38511	37.9242294409
5577	45.9386767079
51368	63.9055443077
280538	50.8833027968
51407	63.9095842979
35688	38.8618022865
53160	61.5443942814
278136	53.5263324417
44931	44.9734036634
53216	43.0885447986
45532	40.0421681455
22251	35.9489461148
39853	50.558301759
59708	66.5505459905
42749	49.9005824698
107218	40.9800593184
51369	63.8867799646
167773	34.7910569639
98170	37.0357543038
40648	40.0413304468
154938	47.3505531245
50346	66.6646804116
51369	63.8770464677
37211	40.5337131493
170403	39.390738426
179558	41.0936856058
5577	45.9386767079
38744	37.0999380549
5486	45.0783813343
131903	37.3638203832
53183	63.4732903371
72570	43.13903817
56622	51.0596587899
48709	36.4840173274
92466	44.7861916813
5386	44.4671370219
34514	37.5181085936
35594	35.7335505984
41857	67.5131997038
69391	52.3771094234
149844	40.9659379088
31699	32.1555885044
71629	42.7424646442
88487	38.893848814
162327	41.178608611
179563	41.1070209342
226158	41.6346094323
68628	67.5220026811
73050	54.8802190281
124826	37.0692003269
62535	49.2955944671
29396	53.9563205878
35306	56.7552257407
34773	51.988611854
145518	35.9082725161
70110	56.2858365426
175437	42.1763938052
44010	43.715064758
59100	56.3011844332
44517	50.8075566637
5386	44.3186037876
93201	61.9167176318
39717	49.3566986429
5833	45.3797359849
72508	54.7236167044
42279	59.0671491757
24841	44.1447606779
170822	40.4180960298
45045	56.0173160173
53227	43.0213989141
180977	37.764467308
41323	39.9390170123
44332	54.4753225661
29423	53.9102063012
18379	37.4938788835
15319	60.2715581957
78269	30.1830865349
38392	40.813190248
62708	49.9011290425
64415	55.643871769
53028	63.4249830278
66390	55.5821659889
41841	51.6216151622
53042	63.5062780438
172261	39.1110001683
44222	33.7162498304
243953	51.3316089575
66181	54.9024644535
38751	44.8788418363
62699	49.3468795356
38867	36.6840764659
39096	47.6672805402
52129	63.0742964569
225391	41.6360901722
49335	45.9977703456
45159	37.6890542306
69037	66.5078146501
36566	36.5202647268
54344	43.0627116149
57401	45.2326614519
55617	61.7149432727
40375	35.1578947368
62708	49.9043184283
5577	45.9207459207
51161	63.7419127851
40564	47.0860861848
112329	60.7572398935
239461	48.5118662329
6089	45.1798324848
25908	30.6623436776
42819	43.2144608702
51910	61.562319399
135279	35.9257534429
39355	37.0270613645
171183	39.3689793963
32275	34.5406661503
7648	62.6307531381
158099	36.8876463482
70258	61.7310484215
37631	38.2796098961
197450	40.3666751076
69000	66.5130434783
33477	38.9521163784
6825	22.652014652
68938	66.3741332792
50755	60.6147177618
49807	50.9767703335
55524	64.9989193862
59199	31.2555955337
5577	45.9028151336
41598	34.7468628299
155053	37.0183098682
5577	45.9028151336
175419	42.1613394216
40190	35.1405822344
156754	64.6363091213
62331	49.2916847155
42042	63.1772988916
42850	46.7514585764
38900	38.3753213368
170336	40.4453550629
5577	45.8669535593
42780	50.7900888266
28674	34.4284020367
348532	34.1139407572
5577	45.9924690694
30796	34.1472918561
8929	59.6483368798
33525	65.0231170768
37969	37.8440306566
29488	54.0321486706
70679	68.958247853
5577	45.9207459207
34563	40.1874837254
173821	39.5780716944
41604	60.6888760696
35129	36.8271228899
29178	50.493522517
86246	54.6773183684
5577	45.8848843464
34565	41.5738463764
40751	49.4834482589
5577	45.9207459207
111325	38.8376375477
11295	37.7069499779
33509	53.3647676744
42542	43.4699826054
38253	48.1713852508
32581	34.5231883613
29551	54.0658522554
68323	66.3817455323
29511	53.9934261801
46353	58.7987832503
33014	33.9189434785
4563	40.9379793995
135764	35.874016676
143349	49.440177469
36799	34.566156689
60606	56.3954063954
32276	34.5241045978
5577	45.9566074951
224948	41.5931681989
133917	49.9787181612
110764	61.153443357
30352	30.3472588297
72544	55.0190229378
47575	39.8318444561
28193	36.6367538041
39696	48.9520354696
68405	66.451282801
51374	63.9389574493
72378	54.9531625632
39167	57.8905711441
180780	41.0869565217
199912	35.6111689143
52496	63.7610484608
40739	42.1856206583
45942	64.2462234992
141028	30.3258927305
60497	66.5322247384
34445	36.3913485266
34607	33.5654636345
5577	45.9745382822
169803	40.63120204
31599	38.4189373081
37775	45.1171409662
51294	63.7092057551
57155	61.5186772811
37631	64.8188993117
51377	63.8982424042
48626	42.4813885576
29491	54.382693025
53431	66.5549961633
44546	53.9913796974
70707	61.7011045582
74901	53.2182480875
5577	45.9386767079
49116	48.7376822217
68711	67.5408595421
32270	34.6203904555
60747	43.8622483415
52088	62.6420672708
173590	43.8804078576
70506	50.3035202678
39444	50.6414156779
58129	68.2550878219
6453	34.8055168139
42935	39.6413182718
68839	66.46958846
178993	40.2797874777
5577	45.9924690694
50440	42.7973830293
170650	35.2376208614
44578	61.0323477949
159492	39.6577884784
46639	63.6784665194
39530	50.5489501644
223389	41.5973928886
45175	54.7338129496
43490	45.2149919522
86252	38.9208366183
62147	50.9147666018
75806	58.8963934253
57416	61.4863452696
172450	38.6552623949
42232	33.5030308771
88421	27.2220400131
54986	61.395627978
171211	40.6311510359
36710	31.5745028603
166007	35.3346545628
87709	39.0347626811
33335	38.5480725964
215767	41.5679876904
49156	63.7928228497
161239	40.1317299165
28452	34.5107549557
50999	60.983548697
68262	66.5611907064
5577	45.9207459207
33108	48.8582819862
2435	33.2648870637
162486	40.0742217791
45364	39.0529935632
175559	39.5189081733
225175	41.615632286
5577	45.9386767079
70123	61.6359824879
69165	61.8043808285
49979	63.5466896096
51274	63.6755470609
50882	64.0363979403
42689	33.427815128
44899	54.4666919085
17422	43.3934106302
38208	49.9005443886
5210	43.5124760077
5577	45.9386767079
92095	44.7212117922
39241	51.5761575903
51372	63.9064081601
39594	30.191443148
137031	30.4208536754
103424	53.3715578589
6071	45.0337670894
53545	63.4606405827
36671	51.0485124485
22861	43.0689821093
29407	53.9055326963
39558	41.0081399464
42185	39.1513571175
7103	41.4050401239
89010	26.9947196944
34932	38.5749456086
51384	63.9323524833
44282	34.17867305
37664	28.3798853016
68952	57.3369880497
40462	35.700163116
59556	66.5491302304
108418	39.6779132616
45653	43.6510196482
44929	67.4553183912
31106	36.2148781586
51131	63.9435958616
197868	40.3430569875
5577	45.9566074951
37848	38.5277953921
136910	43.571689431
37219	65.4504419786
38347	36.2218687251
49717	61.0435062453
168401	35.252165961
62708	49.9027237354
40844	48.9031436686
76184	42.3697889321
49088	45.4754726206
34952	32.6647974365
17253	54.4716860836
69450	67.5104391649
18838	34.6268181336
50401	34.114402492
69118	66.3271506699
160985	64.0898220331
53300	62.6191369606
157147	39.9097660153
5577	45.9386767079
38083	40.2568074994
14939	48.1826092777
126032	32.498889171
59652	61.79340173
38261	64.6742113379
41546	49.9085351177
26215	35.7695975586
246964	41.306425228
50781	65.7312774463
246421	42.5548147276
29330	53.80156836
5577	45.9386767079
68600	66.416909621
132996	49.5631447562
40606	41.3731960794
51646	63.6777291562
41942	54.5419865529
35241	54.876422349
170605	40.4448873128
45530	60.3426312322
35068	45.3262233375
51370	63.9225228733
73784	58.7932343055
14935	48.2557750251
36025	32.399722415
5577	45.9924690694
103910	43.1536906939
58871	63.3435817295
162415	38.7236400579
43211	61.4820300386
36947	64.2758546025
72917	43.4164872389
52519	62.556408157
29581	54.0414455225
5529	46.3194067643
100619	43.1906498773
39283	64.8957564341
